passer_player_id,passer_player_name,week,passing_yards,passing_tds,interceptions,pass_attempts,rusher_player_id,rushing_yards,rushing_tds,fumbles_lost,fantasy_points,recent_team,opponent_team,def_qb_fp_allowed_roll5,qb_fp_roll5,league_qb_fp_allowed,proj_baseline,proj_adj,def_delta,proj_shrunk_02
00-0038120,B.Hall,8,4.0,1.0,0.0,1.0,00-0038120,133.0,2.0,0.0,29.46,NYJ,CIN,18.173999786376953,2.266666809717814,15.449999,2.266666809717814,4.990667740503946,2.724000930786133,2.8114669958750405
00-0038128,M.Willis,11,6.0,1.0,0.0,2.0,00-0038128,16.0,0.0,0.0,5.8399997,GB,NYG,24.96799964904785,2.266666809717814,13.483999,2.266666809717814,13.750667206446328,11.484000396728515,4.563466889063517
00-0038128,M.Willis,12,7.0,0.0,0.0,1.0,00-0038128,3.0,0.0,0.0,0.58000004,GB,MIN,18.727999877929687,4.773333390553792,13.55,4.773333390553792,9.951333077748615,5.1779996871948235,5.808933327992757
00-0038128,M.Willis,16,121.0,1.0,0.0,13.0,00-0038128,44.0,0.0,0.0,13.24,GB,CHI,10.916000270843506,4.966666738192241,13.793646,4.966666738192241,2.0890211502710985,-2.8776455879211422,4.391137620608013
00-0038400,T.McKee,15,33.0,0.0,0.0,3.0,00-0038400,9.0,0.0,0.0,2.22,PHI,LV,12.452000141143799,3.2099998593330383,16.586876,3.2099998593330383,-0.9248759150505066,-4.134875774383545,2.3830247044563295
00-0038416,T.Bagent,2,27.0,0.0,0.0,3.0,00-0038416,7.0,0.0,0.0,1.78,CHI,DET,17.445000171661377,3.2099998593330383,16.66625,3.2099998593330383,3.9887498021125793,0.778749942779541,3.3657498478889467
00-0038416,T.Bagent,9,20.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.8,CHI,CIN,21.157999801635743,2.7333332300186157,17.785,2.7333332300186157,6.106333184242249,3.3729999542236335,3.4079332208633426
00-0039054,M.Mapu,16,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,NE,BAL,12.215999650955201,1.1800000071525574,13.793646,1.1800000071525574,-0.39764620065689016,-1.5776462078094475,0.8644707655906678
00-0039150,B.Young,1,154.0,1.0,2.0,36.0,00-0039150,40.0,0.0,1.0,8.16,CAR,JAX,11.287500143051147,1.7799999713897705,17.265,1.7799999713897705,-4.1974992752075195,-5.97749924659729,0.5845001220703125
00-0039150,B.Young,2,328.0,3.0,1.0,58.0,00-0039150,2.0,0.0,0.0,23.32,CAR,ARI,11.460000991821289,4.96999990940094,16.66625,4.96999990940094,-0.23624932765960693,-5.206249237060547,3.9287500619888305
00-0039150,B.Young,3,121.0,0.0,0.0,25.0,00-0039150,8.0,1.0,0.0,11.64,CAR,ATL,18.509999871253967,11.086666504542032,13.318125,11.086666504542032,16.278541604677834,5.191875100135803,12.125041524569193
00-0039150,B.Young,4,150.0,1.0,0.0,31.0,00-0039150,3.0,0.0,0.0,10.3,CAR,NE,11.93999995291233,14.373333295186361,15.64,14.373333295186361,10.673332904775938,-3.7000003904104233,13.633333217104276
00-0039150,B.Young,5,198.0,2.0,1.0,33.0,00-0039150,1.0,0.0,0.0,14.02,CAR,MIA,26.485000133514404,13.355000019073486,16.651785,13.355000019073486,23.188215255737305,9.833215236663818,15.32164306640625
00-0039150,B.Young,6,199.0,3.0,1.0,26.0,00-0039150,5.0,0.0,0.0,18.46,CAR,DAL,26.77999954223633,13.488000106811523,15.825,13.488000106811523,24.442999839782715,10.954999732971192,15.679000053405762
